NOTE:,For agents count higher than 15, montecarlo isnt generated


GAUSS_SEIDEL_MINUS14
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),roznica do MonteCarlo,czas wykonania,ilość wykonań,
3,0.0,0.0,1.2133333333322338E-4,0.12781781500000006,200,
4,6.328271240363392E-15,4.2558549277297753E-16,2.1171428571302203E-4,0.9937507250000001,200,
5,2.1649348980190553E-15,3.046504847334491E-16,1.015088086528569E-4,0.5517646049999999,200,
6,4.274358644806853E-15,2.131231699057213E-16,7.743890927571116E-5,0.9438307849999994,200,
7,5.440092820663267E-15,4.900111952002244E-16,1.4902388991728242E-5,2.364301704999999,200,
8,5.495603971894525E-15,4.7235315581768E-16,8.22180851186017E-5,3.666221970000002,200,
9,5.467848396278896E-15,4.3831287636656287E-16,4.821244206375378E-6,6.510067840000004,200,
10,6.356026815979021E-15,3.520114922798458E-16,7.192784118111687E-5,10.786362620000004,200,
11,4.954370247389761E-15,3.3263867725701364E-16,6.217088998179739E-5,17.319080834999994,200,
12,5.495603971894525E-15,3.023871880223478E-16,1.4982819127434366E-5,26.768980219999992,200,
13,6.022959908591474E-15,4.1725951183186083E-16,4.576110533488847E-5,40.27356412000002,200,
14,5.995204332975845E-15,3.346859837346982E-16,6.153418850192675E-6,55.822236720000035,200,
15,6.38378239159465E-15,4.2107326093052264E-16,5.258487362538188E-5,77.70329359499996,200,
16,6.0645932720149176E-15,3.379061989049673E-16,0.0,108.7586691350001,200,
17,6.467049118441537E-15,4.094111644659699E-16,0.0,150.65935268499993,200,
18,6.0923488476305465E-15,3.2816903029685836E-16,0.0,190.14682720499994,200,
19,6.4254157550180935E-15,3.898882894853636E-16,0.0,268.46324840500006,200,
20,5.988265439071938E-15,3.1993270860166403E-16,0.0,328.51211876500014,200,
21,6.161737786669619E-15,3.6702437843961104E-16,0.0,417.43480116500047,200,
22,5.870304242705515E-15,3.0594128718274826E-16,0.0,526.344364965,200,
23,6.0645932720149176E-15,3.473807598825472E-16,0.0,662.0983835050002,200,
24,5.689893001203927E-15,2.9473812424829664E-16,0.0,826.4347954750006,200,
25,5.814793091474257E-15,3.2761511313235137E-16,0.0,1014.4105608200002,200,
26,5.6066262743570405E-15,2.795547950854892E-16,0.0,1315.0316899399995,200,
27,5.662137425588298E-15,3.0950039388179334E-16,0.0,1614.8718437299997,200,
28,5.495603971894525E-15,2.664873856794559E-16,0.0,2069.1664111499986,200,
29,5.523359547510154E-15,2.920904369744034E-16,0.0,2515.9279787949995,200,
30,5.953570969552402E-15,3.007550037183419E-16,0.0,3314.4817827499983,200,
